Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,02/01/23,3.23,4.38,3.32,4.03,4.78,4.85,2.17,1.87,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.43,123.0,28.83
Month,Student,Active,01/01/23,9.83,7.78,2.95,5.05,6.58,7.75,5.12,5.52,8.07,9.75,5.4,2.7,1.12,0.43,0.42,0.0,0.0,0.0,0.0,0.0,0.0,135.88,502.55,78.47
Month,Student,Active,12/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,11/01/22,14.85,8.98,8.27,3.38,5.55,5.27,3.07,3.32,3.67,1.93,1.68,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.07,260.55,60.9
Month,Student,Active,10/01/22,5.15,8.27,2.8,2.25,2.97,1.67,2.98,0.82,1.17,0.82,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.57,117.52,29.57
Month,Student,Active,09/01/22,0.8,3.47,0.4,0.02,0.02,0.03,0.2,0.55,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.27,18.83,5.9
Month,Student,All,02/01/23,8.33,4.0,3.77,3.73,4.55,5.63,2.3,1.85,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.43,132.27,34.42
Month,Student,All,01/01/23,9.15,7.33,3.35,7.78,6.8,8.47,6.58,5.85,8.75,10.2,5.87,3.1,1.27,0.3,0.57,0.0,0.0,0.0,0.0,0.0,0.0,135.88,554.33,85.37
Month,Student,All,12/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,All,11/01/22,17.22,8.42,9.37,3.0,6.25,5.28,3.07,3.32,3.48,2.28,1.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.07,270.35,64.42
Month,Student,All,10/01/22,5.35,8.35,2.6,2.37,2.95,1.42,3.4,0.77,1.15,0.93,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.57,119.88,29.98
Month,Student,All,09/01/22,0.82,3.48,0.4,0.02,0.0,0.05,0.18,0.55,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.27,18.93,5.93
Month,Teacher,Active,02/01/23,13.53,2.62,1.22,1.38,0.23,1.03,1.97,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.43,71.62,24.8
