Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,02/01/23,2.97,1.23,0.15,0.08,0.37,0.38,0.25,0.45,0.63,1.03,1.93,3.3,1.78,2.97,1.3,0.12,0.0,0.0,0.0,0.0,0.0,29.63,178.68,18.95
Month,Student,Active,01/01/23,0.4,0.32,0.25,0.53,1.08,0.28,0.62,0.35,0.37,0.33,0.2,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.77,33.98,5.32
Month,Student,Active,12/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,11/01/22,0.75,0.83,0.95,0.37,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,8.9,3.33
Month,Student,Active,10/01/22,0.02,0.12,0.02,0.13,0.0,0.1,0.03,0.12,0.02,0.03,0.17,0.22,0.13,0.3,0.07,0.9,0.23,0.0,0.0,0.0,0.0,2.65,32.82,2.6
Month,Student,Active,09/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0
Month,Student,All,02/01/23,3.68,2.25,0.17,0.13,0.15,0.42,3.3,1.25,1.05,0.53,1.2,4.23,2.28,3.23,1.4,0.13,0.0,0.0,0.0,0.0,0.0,29.63,222.43,25.42
Month,Student,All,01/01/23,0.38,0.08,0.42,0.47,1.38,0.32,0.62,0.32,0.38,0.27,0.2,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.77,35.85,5.52
Month,Student,All,12/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,All,11/01/22,0.3,1.48,0.95,0.35,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,9.77,3.53
Month,Student,All,10/01/22,0.02,0.13,0.02,0.12,0.0,0.1,0.0,0.1,0.03,0.0,0.17,0.13,0.18,0.27,0.2,0.92,0.23,0.0,0.0,0.0,0.0,2.65,33.68,2.62
Month,Student,All,09/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0
Month,Teacher,Active,02/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.63,0.0,0.0
Month,Teacher,Active,01/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.77,0.0,0.0
Month,Teacher,Active,12/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Teacher,Active,11/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.0,0.0
Month,Teacher,Active,10/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,0.0,0.0
Month,Teacher,Active,09/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0
Month,Teacher,All,02/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.63,0.0,0.0
Month,Teacher,All,01/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.77,0.0,0.0
Month,Teacher,All,12/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Teacher,All,11/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.0,0.0
Month,Teacher,All,10/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,0.0,0.0
Month,Teacher,All,09/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0
Week,Student,Active,02/13/23,0.02,0.02,0.0,0.02,0.05,0.15,0.05,0.15,0.17,0.3,0.7,0.65,0.65,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48,34.77,3.17
Week,Student,Active,02/06/23,2.15,1.18,0.13,0.05,0.03,0.1,0.08,0.15,0.17,0.15,0.7,2.43,1.13,2.35,1.3,0.12,0.0,0.0,0.0,0.0,0.0,19.8,116.57,12.23
