Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,02/01/23,0.9,0.92,0.88,1.03,0.62,0.75,0.68,1.17,0.73,0.45,1.23,1.02,1.42,2.38,3.13,4.0,3.97,1.05,0.0,0.0,0.0,44.73,317.2,26.33
Month,Student,Active,01/01/23,0.53,0.33,1.48,0.28,0.62,0.8,0.42,0.62,0.95,0.92,0.65,1.2,1.47,2.5,2.22,2.35,1.53,0.17,0.0,0.0,0.0,29.58,215.77,19.03
Month,Student,Active,12/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97,0.0,0.0
Month,Student,Active,11/01/22,4.23,5.53,5.72,4.42,3.82,3.48,1.9,1.82,1.58,1.43,2.53,2.92,2.83,4.6,3.78,1.55,1.67,0.55,0.0,0.0,0.0,72.87,430.4,54.37
Month,Student,Active,10/01/22,5.15,2.8,1.83,3.03,3.72,4.03,3.48,3.05,5.18,4.85,5.08,4.87,4.62,3.42,6.0,3.97,1.23,0.0,0.0,0.0,0.0,72.73,611.7,66.32
Month,Student,Active,09/01/22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65,0.02,0.02
Month,Student,All,02/01/23,0.67,1.55,0.47,1.53,0.55,0.68,1.22,1.27,0.42,0.32,1.12,0.47,0.88,1.27,1.58,2.92,4.92,6.73,0.0,0.0,0.0,44.73,366.02,28.55
Month,Student,All,01/01/23,0.15,0.4,0.48,0.67,0.27,1.27,0.25,0.5,0.7,0.65,1.0,1.37,0.53,0.45,1.62,4.53,5.13,0.52,0.0,0.0,0.0,29.58,266.53,20.48
Month,Student,All,12/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97,0.0,0.0
Month,Student,All,11/01/22,2.43,3.88,3.33,4.68,6.42,3.37,3.92,1.67,3.35,0.8,1.43,2.72,3.67,4.78,4.37,2.42,1.87,0.55,0.0,0.0,0.0,72.87,478.92,55.65
Month,Student,All,10/01/22,5.15,3.27,0.97,2.13,2.83,2.72,3.23,3.8,5.53,5.3,5.35,6.15,3.83,4.77,6.85,3.75,2.02,0.0,0.0,0.0,0.0,72.73,655.67,67.65
Month,Student,All,09/01/22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65,0.02,0.02
Month,Teacher,Active,02/01/23,17.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.73,17.03,17.03
Month,Teacher,Active,01/01/23,12.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.58,12.33,12.33
Month,Teacher,Active,12/01/22,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97,6.42,6.42
Month,Teacher,Active,11/01/22,21.53,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.87,21.9,21.72
Month,Teacher,Active,10/01/22,9.87,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.73,14.23,12.05
Month,Teacher,Active,09/01/22,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65,0.23,0.23
Month,Teacher,All,02/01/23,27.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.73,27.62,27.62
